rank,code,name,role,close_price,daily_return,relative20,relative5,trend,stability,extension,volume_price,volume_ratio20,up_down_volume_ratio10,volume_price_reasons,amount20,relative20_score,relative5_score,trend_score,stability_score,volume_price_score,score
1,000823,超声电子,覆铜板及PCB,22.63,0.10014584346135136,0.3012432819157038,0.23884148829652063,0.5,0.489030431705591,0.4037155351549171,100.0,1.8163813193388278,4.268490071931059,放量突破此前20日高点 +30；近10日上涨日均量/下跌日均量≥1.2 +20,1123777562.55,100.0,100.0,80.0,100.0,100.0,95.0
2,603186,华正新材,覆铜板,228.7,0.004215333274786959,0.12161485755609536,0.0724143906135779,0.75,0.29886218272402865,0.22705969776881152,70.0,0.9037942489853814,1.3931628222045955,近10日上涨日均量/下跌日均量≥1.2 +20,4586881782.55,95.0,95.0,100.0,95.0,77.5,92.75
3,002636,金安国纪,覆铜板,82.5,0.0004850836769343392,0.04458324297730898,0.057901720378811694,0.5,0.1815062898219245,0.19042465694125799,70.0,1.4886072071302279,1.395964409124818,近10日上涨日均量/下跌日均量≥1.2 +20,4097399397.55,90.0,90.0,80.0,90.0,77.5,85.0
4,603002,宏昌电子,树脂及覆铜板,18.81,0.07731958762886593,-0.03339409441260832,0.005745609826312004,0.5,0.10427350427350413,0.13204140587385638,70.0,1.9036720300522065,1.716949900045711,近10日上涨日均量/下跌日均量≥1.2 +20,1357429879.95,80.0,80.0,80.0,80.0,77.5,79.5
5,301511,德福科技,铜箔,109.03,0.024718045112781972,-0.023157878518537345,-0.04362164197024887,0.5,0.09317765567765565,0.16494999572613045,70.0,0.9388184317893027,1.264141944118282,近10日上涨日均量/下跌日均量≥1.2 +20,3427607285.8,85.0,60.0,80.0,75.0,77.5,78.25
6,300196,长海股份,玻纤材料,20.15,0.07237892496008502,-0.037831965307321025,0.05477288051213702,0.25,0.13495575221238926,0.1738319934754744,70.0,3.505165457581436,2.0320229172280038,近10日上涨日均量/下跌日均量≥1.2 +20,272733720.85,75.0,85.0,42.5,85.0,77.5,69.875
7,688519,南亚新材,覆铜板,329.33,0.006909835814963072,-0.05646412248533994,-0.001645994426866082,0.5,0.058853568236946166,0.12039109756346478,50.0,1.1240977467396236,1.1486872168564322,未触发量价加减分（中性50分）,1781766909.3,65.0,75.0,80.0,70.0,30.0,63.5
8,600183,生益科技,覆铜板,146.0,-0.016371353499966323,-0.08664091535680041,-0.14005494329214996,0.5,0.015652534466673473,0.04160721420010294,70.0,0.7433069821688667,1.1037344065301944,上升趋势缩量回调且守住MA20 +20,10197097024.55,55.00000000000001,20.0,80.0,55.00000000000001,77.5,62.25
9,688300,联瑞新材,硅微粉填料,175.99,-0.015109966981923906,-0.04439480987090183,-0.12495502564018057,0.5,0.05766202301635377,0.05216902621006336,50.0,0.8228216903339286,1.1413408963493958,未触发量价加减分（中性50分）,2709508393.1,70.0,30.0,80.0,65.0,30.0,59.75
10,002552,宝鼎科技,覆铜板及铜箔,54.0,0.08000000000000007,-0.21272119713155335,-0.018519764979260778,0.25,-0.16025641025641024,0.04023193319399354,70.0,1.6273830369236029,1.222881154667967,近10日上涨日均量/下跌日均量≥1.2 +20,1824086195.85,30.0,70.0,42.5,35.0,77.5,47.375
