date,open,high,low,close,volume,amount,outstanding_share,turnover
2025-12-01,32.79,33.6,31.94,33.28,23226800.0,758868017.0,879727500.0,0.0264022666109676
2025-12-02,32.78,33.66,32.63,33.19,12934800.0,428804871.0,879727500.0,0.014703189339880815
2025-12-03,33.16,33.36,31.8,32.06,12814933.0,415382852.0,879727500.0,0.014566934647376602
2025-12-04,31.9,32.19,31.29,31.59,9386246.0,297231422.0,879727500.0,0.010669492541724569
2025-12-05,31.69,34.34,31.69,32.85,24188316.0,801307829.0,879727500.0,0.02749523687732849
2025-12-08,33.43,36.14,33.16,36.14,25749005.0,903436058.0,879727500.0,0.029269296458278273
2025-12-09,36.99,37.04,35.29,35.81,30101706.0,1080931103.0,879727500.0,0.03421707972070897
2025-12-10,35.87,37.09,34.81,35.89,24715302.0,882814744.0,879727500.0,0.028094270100684587
2025-12-11,36.69,36.69,34.89,34.91,20785884.0,740246676.0,879727500.0,0.023627639240560286
2025-12-12,34.79,34.9,33.19,34.49,17859016.0,607873500.0,879727500.0,0.020300622635986712
2025-12-15,33.32,34.31,32.67,33.49,18571321.0,619244161.0,879727500.0,0.021110310863307103
2025-12-16,33.29,34.64,33.01,33.56,16149163.0,543449455.0,879727500.0,0.01835700600470032
2025-12-17,33.35,35.34,32.77,35.34,25927908.0,888434345.0,879727500.0,0.029472658294756048
2025-12-18,31.99,34.06,31.99,32.67,25802600.0,855036362.0,879727500.0,0.029330218732505235
2025-12-19,33.11,33.75,32.32,32.37,18297451.0,602012224.0,879727500.0,0.02079899855352936
2025-12-22,32.65,34.36,32.32,33.87,21751895.0,731615387.0,879727500.0,0.02472571904368114
2025-12-23,33.98,37.26,33.79,37.26,30487361.0,1104961815.0,879727500.0,0.03465545978726367
2025-12-24,38.18,38.62,36.5,37.98,46455500.0,1741055268.0,879727500.0,0.05280669298163352
2025-12-25,37.77,38.91,37.77,38.15,31536606.0,1209060758.0,879727500.0,0.03584815297918958
2025-12-26,37.99,38.45,37.05,37.59,22839029.0,861658298.0,879727500.0,0.025961481254138354
2025-12-29,37.65,38.37,36.35,38.01,23886155.0,898160175.0,879727500.0,0.027151765745642827
2025-12-30,37.19,38.88,36.59,37.9,22280300.0,844982696.0,879727500.0,0.02532636526651719
2025-12-31,37.83,38.35,36.49,36.8,18324605.0,682223768.0,879727500.0,0.02082986492976518
2026-01-05,36.99,37.99,36.35,37.94,23969000.0,896069898.0,879727500.0,0.027245936952067545
2026-01-06,38.04,38.19,36.69,37.21,21080525.0,784456467.0,879727500.0,0.023962562270703144
2026-01-07,36.93,38.79,36.25,38.29,31398709.0,1190251483.0,879727500.0,0.03569140330386398
2026-01-08,37.73,38.54,36.99,37.49,19571352.0,738920090.0,879727500.0,0.022247061732184114
2026-01-09,37.03,39.21,36.1,39.09,32298606.0,1220954912.0,879727500.0,0.03671433028977723
2026-01-12,38.29,38.66,37.41,37.81,26240800.0,992611545.0,879727500.0,0.02982832752187467
2026-01-13,37.82,37.9,35.6,35.61,18705209.0,686231092.0,879727500.0,0.021262503445669257
2026-01-14,35.29,37.14,35.29,36.07,15275106.0,552927260.0,879727500.0,0.01736345175068416
2026-01-15,37.94,39.68,37.26,38.0,38947208.0,1499533216.0,879727500.0,0.044271900105430376
