date,open,high,low,close,volume,amount,outstanding_share,turnover
2025-12-01,55.39,56.55,54.44,55.0,3482205.0,192012957.0,102065545.0,0.03411734096947212
2025-12-02,55.28,55.57,53.87,54.5,1979667.0,107424927.0,102065545.0,0.019396036145204534
2025-12-03,54.75,54.78,52.49,52.56,2973159.0,157916576.0,102065545.0,0.029129898831187353
2025-12-04,52.45,52.63,51.08,51.1,2269016.0,116794227.0,102065545.0,0.022230969324662894
2025-12-05,51.29,52.05,50.2,51.8,2234606.0,114544030.0,102065545.0,0.021893833026610496
2025-12-08,52.31,53.98,52.09,52.9,2664735.0,141861614.0,102065545.0,0.026108075942767955
2025-12-09,52.61,53.13,51.86,51.92,1518978.0,79496112.0,102065545.0,0.01488237778968407
2025-12-10,51.68,51.85,50.86,51.47,1563936.0,80155520.0,102065545.0,0.015322859442919744
2025-12-11,51.01,51.69,50.0,50.03,2227962.0,112659769.0,102065545.0,0.021828737601900818
2025-12-12,49.96,51.9,49.41,51.7,2529989.0,128699008.0,102065545.0,0.024787885079142036
2025-12-15,51.1,52.33,50.6,51.15,1959111.0,100903465.0,102065545.0,0.019194636152680123
2025-12-16,51.19,51.62,50.01,50.27,1614135.0,82092244.0,102065545.0,0.015814690452101147
2025-12-17,50.2,51.85,49.36,50.74,2753022.0,138496976.0,102065545.0,0.026973078917082154
2025-12-18,50.38,51.88,50.0,51.35,2098722.0,107736421.0,102065545.0,0.020562492465013536
2025-12-19,51.36,51.9,51.13,51.23,1410125.0,72564183.0,102065545.0,0.013815876846589121
2025-12-22,51.23,52.13,50.67,51.1,1744808.0,89957872.0,102065545.0,0.017094975586521385
2025-12-23,53.2,53.5,50.31,50.46,3133999.0,161310056.0,102065545.0,0.03070574893809659
2025-12-24,50.3,50.77,50.1,50.52,1885285.0,95109868.0,102065545.0,0.0184713166426535
2025-12-25,50.2,50.8,50.2,50.59,1610529.0,81451493.0,102065545.0,0.015779360214066365
2025-12-26,50.27,52.5,50.27,51.3,3075933.0,159056461.0,102065545.0,0.030136840008055606
2025-12-29,51.3,51.94,50.9,51.55,1784287.0,91706637.0,102065545.0,0.01748177604891053
2025-12-30,51.21,52.35,50.89,51.09,2115015.0,108899356.0,102065545.0,0.020722125179461884
2025-12-31,51.08,52.2,50.8,51.41,2053813.0,105820997.0,102065545.0,0.02012249089543391
2026-01-05,51.66,53.06,51.58,52.88,3296935.0,173570227.0,102065545.0,0.03230213486833387
2026-01-06,52.8,53.39,52.43,53.36,2961589.0,157000130.0,102065545.0,0.029016540302606527
2026-01-07,53.36,53.5,52.5,53.15,2585044.0,136998206.0,102065545.0,0.02532729335840023
2026-01-08,52.86,53.93,52.79,53.6,3196224.0,170443077.0,102065545.0,0.031315406193147745
2026-01-09,53.42,55.5,53.26,55.5,4651768.0,254656212.0,102065545.0,0.04557628139838963
2026-01-12,57.27,64.38,56.69,63.3,10930676.0,654426917.0,102065545.0,0.10709467137024546
2026-01-13,63.8,64.0,59.5,59.6,8361124.0,510314535.0,102065545.0,0.08191916282816106
2026-01-14,60.33,62.99,60.01,61.22,8639816.0,531774950.0,102065545.0,0.08464968271124207
2026-01-15,65.0,66.58,59.13,60.71,9628778.0,593235670.0,102065545.0,0.09433916215310466
2026-01-16,59.28,60.5,57.38,58.31,6970615.0,408684658.0,102065545.0,0.06829547620600077
2026-01-19,57.6,57.98,56.15,56.28,4625364.0,263254023.0,102065545.0,0.04531758489115989
2026-01-20,56.11,57.34,54.73,55.23,3749354.0,208812806.0,102065545.0,0.03673476685986441
2026-01-21,54.87,56.91,54.76,56.1,3785398.0,212710628.0,102065545.0,0.03708791247820212
2026-01-22,56.33,57.87,55.71,57.26,3853991.0,219409926.0,102065545.0,0.03775996101328808
2026-01-23,57.3,58.06,56.76,57.48,3402005.0,195376126.0,102065545.0,0.03333157139365689
2026-01-26,57.99,58.66,55.83,57.1,4381241.0,249648163.0,102065545.0,0.042925759128607015
2026-01-27,58.0,58.25,55.91,57.86,4049639.0,230841534.0,102065545.0,0.03967684687325189
2026-01-28,58.0,59.57,57.53,57.87,3491112.0,204052234.0,102065545.0,0.03420460842099065
2026-01-29,57.0,60.27,56.25,58.08,5330604.0,314123424.0,102065545.0,0.05222726239300442
2026-01-30,57.6,57.81,55.38,56.0,4002363.0,225314238.0,102065545.0,0.03921365432379752
2026-02-02,56.15,58.6,56.0,56.79,5241382.0,299807031.0,102065545.0,0.0513530986387228
2026-02-03,57.0,57.0,55.61,56.81,3702457.0,208851540.0,102065545.0,0.036275287610525175
2026-02-04,56.32,56.48,54.8,55.7,3218609.0,178481471.0,102065545.0,0.03153472604295603
2026-02-05,55.3,55.67,54.2,54.4,2444680.0,133939549.0,102065545.0,0.023952059433964713
2026-02-06,54.4,56.0,53.61,54.43,3000716.0,164518988.0,102065545.0,0.02939989200077264
2026-02-09,55.25,56.3,54.96,56.04,2501320.0,139381584.0,102065545.0,0.024506996949852176
2026-02-10,56.88,58.43,56.01,57.4,3991676.0,229090928.0,102065545.0,0.03910894709865117
2026-02-11,57.2,60.88,57.17,59.26,5641132.0,335946262.0,102065545.0,0.05526969948575692
2026-02-12,59.25,61.68,59.11,60.99,5439716.0,328654045.0,102065545.0,0.05329630092113847
2026-02-13,60.99,65.58,60.02,62.7,7547193.0,479206641.0,102065545.0,0.07394457159857423
2026-02-24,60.5,61.49,56.66,56.72,8018848.0,465096233.0,102065545.0,0.07856567071679282
2026-02-25,56.99,57.39,55.71,55.93,4717773.0,265293078.0,102065545.0,0.04622297367833582
2026-02-26,56.09,56.52,54.99,56.16,3703251.0,206399931.0,102065545.0,0.03628306692527826
2026-02-27,56.08,59.99,56.04,58.6,6347296.0,371034742.0,102065545.0,0.0621884299936869
2026-03-02,58.5,58.9,56.14,56.81,5105941.0,291127821.0,102065545.0,0.050026098425281516
2026-03-03,57.5,58.18,53.26,53.4,5577467.0,308646285.0,101784478.99999999,0.05479683203958828
2026-03-04,52.79,53.7,51.88,52.3,3461041.0,182484117.0,101784478.99999999,0.03400362249729647
2026-03-05,53.34,53.62,52.16,52.43,2627282.0,139056051.0,101784478.99999999,0.025812206593895326
2026-03-06,52.57,54.23,52.46,53.68,2644522.0,141601029.0,101784478.99999999,0.02598158408808086
2026-03-09,53.82,59.95,53.82,59.46,8986085.0,510357265.0,101784478.99999999,0.0882854153038402
2026-03-10,60.45,62.65,59.0,60.8,8982871.0,546038071.0,101784478.99999999,0.0882538387802722
2026-03-11,62.0,63.01,59.25,59.53,7096773.0,431834866.0,101784478.99999999,0.06972352827978813
2026-03-12,59.01,61.37,58.88,60.35,6929908.0,415439843.0,101784478.99999999,0.06808413294525976
2026-03-13,59.5,59.74,57.19,57.3,4905540.0,284836815.0,101784478.99999999,0.04819536385306841
