rank,code,name,role,close_price,daily_return,relative20,relative5,trend,stability,extension,volume_price,volume_ratio20,up_down_volume_ratio10,volume_price_reasons,amount20,relative20_score,relative5_score,trend_score,stability_score,volume_price_score,score
1,688561,奇安信-U,网络安全,29.51,0.0692028985507247,0.14227257581621777,0.10404587354197514,1.0,0.27744165946413146,0.10979485154472468,100.0,2.3725223549553704,1.6894975577533307,放量突破此前20日高点 +30；近10日上涨日均量/下跌日均量≥1.2 +20,226887071.5,88.88888888888889,88.88888888888889,90.74074074074075,96.29629629629629,100.0,92.68518518518519
2,688023,安恒信息,网络安全,45.2,0.09443099273607758,0.14749380972111137,0.0915833676900557,1.0,0.23921200750469035,0.12012886438262793,70.0,2.8920372076549516,1.7052596094802317,近10日上涨日均量/下跌日均量≥1.2 +20,133357816.5,92.5925925925926,85.18518518518519,90.74074074074075,92.5925925925926,77.77777777777779,88.42592592592592
3,002212,天融信,网络安全,7.4,0.09955423476968805,0.15188801756597448,0.1303106450639553,0.75,0.2287234042553192,0.13392583512105416,70.0,0.9331432967565565,1.31020575319576,近10日上涨日均量/下跌日均量≥1.2 +20,389415330.8,96.29629629629629,96.29629629629629,70.37037037037037,88.88888888888889,77.77777777777779,85.0
4,300454,深信服,网络安全,134.26,0.04964428113517316,0.1100410832093377,0.013186340831498944,1.0,0.16279069767441845,0.06485410404257497,70.0,1.30702828432275,1.5848358240325586,近10日上涨日均量/下跌日均量≥1.2 +20,1944256796.5,81.48148148148148,51.85185185185185,90.74074074074075,81.48148148148148,77.77777777777779,80.0925925925926
5,300352,北信源,网络安全,3.17,0.05666666666666664,0.3118387169069583,0.2196720696801142,0.75,0.46405228758169953,0.23610840319750448,50.0,3.036616739699525,2.3474390021712854,近10日上涨日均量/下跌日均量≥1.2 +20；明显放量且上影占振幅至少一半 -20,92814707.2,100.0,100.0,70.37037037037037,100.0,33.33333333333333,79.25925925925927
6,300369,绿盟科技,网络安全,8.65,0.10897435897435903,0.12176720677784059,0.11359391088088544,1.0,0.18348623853211027,0.1564171122994653,50.0,2.5451832884552514,1.1740918775303502,未触发量价加减分（中性50分）,401461078.35,85.18518518518519,92.5925925925926,90.74074074074075,85.18518518518519,33.33333333333333,76.94444444444444
7,300523,辰安科技,网络安全,20.96,0.012560386473430052,0.06369382681088953,0.03100071298733309,1.0,0.11335012594458463,0.02291305727044257,70.0,0.7977220396134044,1.5929653932493846,近10日上涨日均量/下跌日均量≥1.2 +20,61316500.3,70.37037037037037,59.25925925925925,90.74074074074075,66.66666666666666,77.77777777777779,75.27777777777779
8,300674,宇信科技,网络安全,16.78,0.0145102781136639,0.08459522362343308,-0.03212261191620547,1.0,0.12515188335358451,0.006779864402711944,70.0,0.638899204400307,1.8531721963369754,近10日上涨日均量/下跌日均量≥1.2 +20,393620052.2,77.77777777777779,25.925925925925924,90.74074074074075,70.37037037037037,77.77777777777779,74.72222222222223
9,300659,中孚信息,网络安全,10.87,0.0762376237623763,0.06505070872670715,0.07509500426025073,0.75,0.13114754098360612,0.05288647810925995,50.0,6.511744078080067,1.9166511718056571,近10日上涨日均量/下跌日均量≥1.2 +20；明显放量且上影占振幅至少一半 -20,57663173.0,74.07407407407408,81.48148148148148,70.37037037037037,74.07407407407408,33.33333333333333,65.74074074074075
10,300188,美亚柏科,网络安全,10.6,0.050545094152626424,0.013240514271585013,0.042301318261665166,0.5,-0.02008032128514086,0.02316602316602312,70.0,2.5482646808572698,2.1271662136387035,近10日上涨日均量/下跌日均量≥1.2 +20,98942771.6,62.96296296296296,66.66666666666666,50.0,62.96296296296296,77.77777777777779,63.05555555555556
