date,action,sector,notional,fee,turnover_fraction,sizing_information_date
2024-10-17,BUY,大数据,599520.3836930456,479.6163069544365,0.9992006394884093,2024-10-16
2024-10-29,SELL,大数据,664451.8613951121,863.7874198136457,1.0,2024-10-28
2024-10-29,BUY,低空经济,663057.6278730001,530.4461022984001,0.9992006394884094,2024-10-28
2024-10-31,SELL,低空经济,705966.7249689692,917.75674245966,1.0,2024-10-30
2024-11-01,BUY,低空经济,704485.3799225716,563.5883039380573,0.9992006394884093,2024-10-31
2024-11-18,SELL,低空经济,653894.4518912438,850.0627874586169,1.0,2024-11-15
2024-12-03,BUY,液冷,652522.3712068198,522.0178969654559,0.9992006394884094,2024-12-02
2024-12-19,SELL,液冷,634258.8751607763,824.5365377090092,1.0,2024-12-18
2024-12-19,BUY,纺织服饰,632927.9962260864,506.3423969808691,0.9992006394884093,2024-12-18
2024-12-30,SELL,纺织服饰,627298.8257651089,815.4884734946415,1.0,2024-12-27
2024-12-30,BUY,PCB,625982.5512506139,500.78604100049114,0.9992006394884094,2024-12-27
2025-01-03,SELL,PCB,586267.7921804133,762.1481298345373,1.0,2025-01-02
2025-01-27,BUY,PCB,585037.6139594113,468.03009116752906,0.9992006394884094,2025-01-24
2025-02-06,SELL,PCB,525646.4262598894,683.3403541378561,1.0,2025-02-05
2025-03-14,BUY,工程机械,524543.4511448358,419.63476091586864,0.9992006394884094,2025-03-13
2025-03-24,SELL,工程机械,518870.5323756826,674.5316920883873,1.0,2025-03-21
2025-05-09,BUY,CPO,517781.7752633835,414.22542021070683,0.9992006394884093,2025-05-08
2025-07-16,SELL,CPO,853362.3174887024,1109.3710127353131,1.0,2025-07-15
2025-07-17,BUY,CPO,851571.6891246674,681.257351299734,0.9992006394884094,2025-07-16
2025-07-29,SELL,CPO,910829.2349332623,1184.078005413241,1.0,2025-07-28
2025-07-29,BUY,稀土永磁,908918.0225098412,727.134418007873,0.9992006394884093,2025-07-28
2025-08-12,SELL,稀土永磁,916530.626325197,1191.4898142227562,1.0,2025-08-11
2025-08-12,BUY,液冷,914607.450550534,731.6859604404272,0.9992006394884094,2025-08-11
2025-08-19,SELL,液冷,1199046.6091941185,1558.760591952354,1.0,2025-08-18
2025-08-20,BUY,液冷,1196530.624102884,957.2244992823072,0.9992006394884093,2025-08-19
2025-08-29,SELL,液冷,1342968.8121047856,1745.8594557362212,1.0,2025-08-28
2025-09-01,BUY,CPO,1340150.831983463,1072.1206655867704,0.9992006394884094,2025-08-29
2025-09-02,SELL,CPO,1400683.4328607207,1820.8884627189368,1.0,2025-09-01
2025-09-03,BUY,CPO,1397744.3489188666,1118.1954791350934,0.9992006394884093,2025-09-02
2025-09-08,SELL,CPO,1334660.4759658119,1735.0586187555552,1.0,2025-09-05
2025-09-09,BUY,CPO,1331859.9294035337,1065.487943522827,0.9992006394884094,2025-09-08
2025-09-12,SELL,CPO,1500809.4395520932,1951.052271417721,1.0,2025-09-11
2025-09-15,BUY,储能,1497660.2590734167,1198.1282072587335,0.9992006394884093,2025-09-12
2025-10-14,SELL,储能,1568619.966342964,2039.205956245853,1.0,2025-10-13
2025-10-14,BUY,存储,1565328.4975886475,1252.262798070918,0.9992006394884094,2025-10-13
2025-10-28,SELL,存储,1708790.1604142385,2221.42720853851,1.0,2025-10-27
2025-10-29,BUY,存储,1705204.5695500602,1364.1636556400483,0.9992006394884094,2025-10-28
2025-11-10,SELL,存储,1689980.8717648343,2196.9751332942847,1.0,2025-11-07
2025-11-10,BUY,光伏,1686434.7488324742,1349.1477990659794,0.9992006394884094,2025-11-07
2025-11-19,SELL,光伏,1551038.52233812,2016.350079039556,1.0,2025-11-18
2025-12-09,BUY,CPO,1547783.9451029983,1238.2271560823988,0.9992006394884094,2025-12-08
2025-12-18,SELL,CPO,1537906.745122319,1999.2787686590148,1.0,2025-12-17
2025-12-22,BUY,商业航天,1534679.7225755996,1227.7437780604796,0.9992006394884093,2025-12-19
2025-12-26,SELL,商业航天,1641709.9426570917,2134.222925454219,1.0,2025-12-25
2025-12-29,BUY,商业航天,1638265.1076455212,1310.612086116417,0.9992006394884093,2025-12-26
2026-01-05,SELL,商业航天,1971898.9288606772,2563.46860751888,1.0,2025-12-31
2026-01-06,BUY,商业航天,1967761.251252157,1574.2090010017257,0.9992006394884094,2026-01-05
2026-01-13,SELL,商业航天,2659132.940391468,3456.872822508908,1.0,2026-01-12
2026-01-14,BUY,商业航天,2653553.224988968,2122.8425799911747,0.9992006394884093,2026-01-13
2026-01-26,SELL,商业航天,2394098.6966639142,3112.3283056630885,1.0,2026-01-23
2026-01-27,BUY,黄金概念,2389075.108271634,1911.2600866173075,0.9992006394884094,2026-01-26
2026-01-29,SELL,黄金概念,2791374.285571594,3628.7865712430716,1.0,2026-01-28
2026-01-30,BUY,黄金概念,2785517.0853320854,2228.4136682656685,0.9992006394884093,2026-01-29
2026-02-05,SELL,黄金概念,2400647.4462830825,3120.841680168007,1.0,2026-02-04
2026-02-10,BUY,光纤概念,2395610.1165097067,1916.4880932077654,0.9992006394884093,2026-02-09
2026-03-11,SELL,光纤概念,3009063.1105830916,3911.782043758019,1.0,2026-03-10
2026-03-12,BUY,光纤概念,3002749.129235945,2402.199303388756,0.9992006394884093,2026-03-11
2026-03-18,SELL,光纤概念,2659289.261677414,3457.0760401806383,1.0,2026-03-17
2026-04-09,BUY,CPO,2653709.2182626235,2122.967374610099,0.9992006394884094,2026-04-08
2026-04-23,SELL,CPO,3437145.9266810217,4468.289704685328,1.0,2026-04-22
2026-04-23,BUY,光纤概念,3429933.6900243172,2743.946952019454,0.9992006394884093,2026-04-22
2026-05-26,SELL,光纤概念,4314615.470564277,5609.00011173356,1.0,2026-05-25
2026-05-26,BUY,被动元件,4305562.020835875,3444.4496166687,0.9992006394884093,2026-05-25
2026-06-10,SELL,被动元件,6046136.676020412,7859.977678826535,1.0,2026-06-09
2026-06-16,BUY,被动元件,6033449.938390873,4826.759950712699,0.9992006394884093,2026-06-15
2026-06-26,SELL,被动元件,7052924.054831821,9168.801271281367,1.0,2026-06-25
