signal_date,trade_date,action,sector,from_sector,to_sector,rs20,score,reason,target_weight,nav_at_open,cycle_return,losing_cycle_streak
2024-10-16,2024-10-17,BUY,大数据,,大数据,1.6733057038075076,1.6733057038075076,ENTRY_TOP1,1.0,600000.0,,
2024-10-28,2024-10-29,SWITCH,低空经济,大数据,低空经济,2.013251493841714,2.013251493841714,STRONGER_RS20_MARGIN_7%,1.0,664983.4228842282,,
2024-10-30,2024-10-31,SELL,低空经济,低空经济,,,,SECTOR_DAILY_GAIN_OVER_8%_PAUSE,0.0,708017.1458372119,0.18002857639535308,0.0
2024-10-31,2024-11-01,BUY,低空经济,,低空经济,2.2065716266087185,2.2065716266087185,ENTRY_TOP1,1.0,708017.1458372119,,
2024-11-15,2024-11-18,SELL,低空经济,低空经济,,,,DOUBLE_MA20_BREAK,0.0,657172.5925067605,-0.07181260175603377,1.0
2024-12-02,2024-12-03,BUY,液冷,,液冷,1.1801816680429398,1.1801816680429398,ENTRY_TOP1,1.0,657172.5925067605,,
2024-12-18,2024-12-19,SWITCH,纺织服饰,液冷,纺织服饰,1.1020676485780025,1.1020676485780025,STRONGER_RS20_MARGIN_7%,1.0,638778.9410789673,,
2024-12-27,2024-12-30,SWITCH,PCB,纺织服饰,PCB,1.2000491491061003,1.2000491491061003,STRONGER_RS20_MARGIN_7%,1.0,633097.7331569658,,
2025-01-02,2025-01-03,SELL,PCB,PCB,,,,DOUBLE_MA20_BREAK,0.0,592931.5593714719,-0.0977536706000528,2.0
2025-01-24,2025-01-27,BUY,PCB,,PCB,1.1443730914772092,1.1443730914772092,ENTRY_TOP1,1.0,592931.5593714719,,
2025-02-05,2025-02-06,SELL,PCB,PCB,,,,DOUBLE_MA20_BREAK,0.0,532739.0030377446,-0.10151687050952984,3.0
2025-03-13,2025-03-14,BUY,工程机械,,工程机械,1.1791171060029588,1.1791171060029588,ENTRY_TOP1,1.0,532739.0030377446,,
2025-03-21,2025-03-24,SELL,工程机械,工程机械,,,,DOUBLE_MA20_BREAK,0.0,526977.449666338,-0.010814964435780783,4.0
2025-05-08,2025-05-09,BUY,CPO,,CPO,1.3018526632736753,1.3018526632736753,ENTRY_TOP1,1.0,526977.449666338,,
2025-07-15,2025-07-16,SELL,CPO,CPO,,,,SECTOR_DAILY_GAIN_OVER_8%_PAUSE,0.0,868517.8181151683,0.6481119233186932,0.0
2025-07-16,2025-07-17,BUY,CPO,,CPO,1.3587754199823165,1.3587754199823165,ENTRY_TOP1,1.0,868517.8181151683,,
2025-07-28,2025-07-29,SWITCH,稀土永磁,CPO,稀土永磁,1.4531870789428225,1.4531870789428225,STRONGER_RS20_MARGIN_7%,1.0,928954.5788128409,,
2025-08-11,2025-08-12,SWITCH,液冷,稀土永磁,液冷,1.4406709176601054,1.4406709176601054,STRONGER_RS20_MARGIN_7%,1.0,936734.9979439692,,
2025-08-18,2025-08-19,SELL,液冷,液冷,,,,SECTOR_DAILY_GAIN_OVER_8%_PAUSE,0.0,1228055.7328962162,0.41396722932099017,0.0
2025-08-19,2025-08-20,BUY,液冷,,液冷,1.9001311565940704,1.9001311565940704,ENTRY_TOP1,1.0,1228055.7328962162,,
2025-08-28,2025-08-29,SELL,液冷,液冷,,,,SECTOR_DAILY_GAIN_OVER_8%_PAUSE,0.0,1378352.1420880014,0.12238565821221314,0.0
2025-08-29,2025-09-01,BUY,CPO,,CPO,1.8274994811188299,1.8274994811188299,ENTRY_TOP1,1.0,1378352.1420880014,,
2025-09-01,2025-09-02,SELL,CPO,CPO,,,,SECTOR_DAILY_GAIN_OVER_8%_PAUSE,0.0,1440610.238784356,0.04516849852465343,0.0
2025-09-02,2025-09-03,BUY,CPO,,CPO,1.8866071153233346,1.8866071153233346,ENTRY_TOP1,1.0,1440610.238784356,,
2025-09-05,2025-09-08,SELL,CPO,CPO,,,,SECTOR_DAILY_GAIN_OVER_8%_PAUSE,0.0,1375591.715655548,-0.04513262600692969,1.0
2025-09-08,2025-09-09,BUY,CPO,,CPO,1.6485210448308287,1.6485210448308287,ENTRY_TOP1,1.0,1375591.715655548,,
2025-09-11,2025-09-12,SELL,CPO,CPO,,,,SECTOR_DAILY_GAIN_OVER_8%_PAUSE,0.0,1550088.7039600937,0.1268523111317139,0.0
2025-09-12,2025-09-15,BUY,储能,,储能,1.4099258688045164,1.4099258688045164,ENTRY_TOP1,1.0,1550088.7039600937,,
2025-10-13,2025-10-14,SWITCH,存储,储能,存储,1.3749146591241588,1.3749146591241588,STRONGER_RS20_MARGIN_7%,1.0,1623532.490699078,,
2025-10-27,2025-10-28,SELL,存储,存储,,,,SECTOR_DAILY_GAIN_OVER_8%_PAUSE,0.0,1772328.5236888705,0.1433723238941158,0.0
2025-10-28,2025-10-29,BUY,存储,,存储,1.2966513347375663,1.2966513347375663,ENTRY_TOP1,1.0,1772328.5236888705,,
2025-11-07,2025-11-10,SWITCH,光伏,存储,光伏,1.327209592071666,1.327209592071666,STRONGER_RS20_MARGIN_7%,1.0,1756505.5577511855,,
2025-11-18,2025-11-19,SELL,光伏,光伏,,,,DOUBLE_MA20_BREAK,0.0,1615483.6625960257,-0.0884964942991453,1.0
2025-12-08,2025-12-09,BUY,CPO,,CPO,1.2049977664026834,1.2049977664026834,ENTRY_TOP1,1.0,1615483.6625960257,,
