,name,open,prev,close,high,upper_limit,time,date
000002,万  科Ａ,3.03,3.02,3.05,3.06,3.32,11:48:27,2026-09-18
000021,深科技,36.25,35.51,37.35,37.35,39.06,11:48:30,2026-09-18
000060,中金岭南,6.24,6.15,6.18,6.25,6.77,11:48:51,2026-09-18
000063,中兴通讯,32.04,31.87,32.57,32.62,35.06,11:48:57,2026-09-18
000066,中国长城,14.03,13.87,14.17,14.2,15.26,11:48:48,2026-09-18
000069,华侨城Ａ,1.77,1.77,1.79,1.79,1.95,11:48:54,2026-09-18
000070,特发信息,18.14,17.98,17.59,18.2,19.78,11:48:48,2026-09-18
000157,中联重科,6.15,6.16,6.19,6.2,6.78,11:48:45,2026-09-18
000333,美的集团,84.9,85.04,84.27,85.04,93.54,11:48:39,2026-09-18
000400,许继电气,20.38,20.31,20.44,20.61,22.34,11:49:03,2026-09-18
000401,金隅冀东,3.49,3.48,3.48,3.51,3.83,11:48:54,2026-09-18
000425,徐工机械,7.56,7.54,7.44,7.59,8.29,11:49:00,2026-09-18
000554,泰山石油,6.25,6.31,6.36,6.4,6.94,11:48:57,2026-09-18
000568,泸州老窖,71.65,71.65,71.85,72.1,78.82,11:48:36,2026-09-18
000630,铜陵有色,6.11,6.02,6.07,6.15,6.62,11:48:39,2026-09-18
000636,风华高科,57.98,56.65,57.2,58.36,62.32,11:48:57,2026-09-18
000651,格力电器,38.03,37.98,38.3,38.49,41.78,11:49:03,2026-09-18
000682,东方电子,10.78,10.69,10.78,10.9,11.76,11:48:42,2026-09-18
000708,中信特钢,13.04,13.1,13.05,13.13,14.41,11:49:03,2026-09-18
000713,国投丰乐,6.49,6.71,6.51,6.64,7.38,11:48:27,2026-09-18
000723,美锦能源,3.57,3.6,3.58,3.62,3.96,11:48:27,2026-09-18
000768,中航西飞,22.31,22.22,22.48,22.73,24.44,11:48:27,2026-09-18
000785,居然智家,2.22,2.22,2.27,2.29,2.44,11:48:36,2026-09-18
000786,北新建材,15.79,15.71,15.77,15.84,17.28,11:48:45,2026-09-18
000830,鲁西化工,11.62,11.59,11.71,11.77,12.75,11:49:03,2026-09-18
000831,中国稀土,54.0,53.37,53.47,54.21,58.71,11:48:39,2026-09-18
000858,五 粮 液,69.11,69.13,69.32,69.55,76.04,11:48:48,2026-09-18
000876,新 希 望,7.15,7.21,7.2,7.21,7.93,11:49:00,2026-09-18
000920,沃顿科技,13.17,12.63,13.31,13.89,13.89,11:49:21,2026-09-18
000921,海信家电,28.02,27.75,27.78,28.17,30.53,11:48:27,2026-09-18
000932,华菱钢铁,3.53,3.53,3.57,3.59,3.88,11:49:24,2026-09-18
000938,紫光股份,33.35,32.8,34.12,34.29,36.08,11:48:30,2026-09-18
000959,首钢股份,3.47,3.47,3.48,3.49,3.82,11:48:33,2026-09-18
000975,山金国际,25.67,25.02,24.9,25.79,27.52,11:48:45,2026-09-18
000977,浪潮信息,71.0,69.81,71.96,72.19,76.79,11:48:48,2026-09-18
000998,隆平高科,8.81,9.04,8.86,8.98,9.94,11:48:42,2026-09-18
001696,宗申动力,15.4,15.25,15.45,15.54,16.78,11:48:51,2026-09-18
001979,招商蛇口,6.67,6.67,6.69,6.73,7.34,11:48:57,2026-09-18
