排名,板块,成分股总数,有效行情数,涨停可判定数,涨停数量,已知涨停数量,上涨数量,下跌数量,平盘数量,涨停股票,RS20,20日涨幅,今日涨幅,MA20上方比例,基础趋势合格,v10宽度合格,缺失成分股,产业链去重后候选
1,电子布,5,5,5,0.0,0,4,1,0,,1.202571424125659,0.2025714241256591,0.035030613309701586,0.8,True,True,,True
2,液冷,5,5,5,0.0,0,5,0,0,,1.1864472835912385,0.18644728359123852,0.03239775875246442,0.4,False,False,,False
3,PCB,5,5,5,0.0,0,5,0,0,,1.1336448008288884,0.1336448008288884,0.03646385753606318,0.8,True,True,,True
4,被动元件,5,5,5,0.0,0,5,0,0,,1.1079377679887932,0.10793776798879318,0.029219490816790206,1.0,True,True,,False
5,光纤概念,5,5,5,2.0,2,5,0,0,002281 光迅科技 / 002491 通鼎互联,1.1070494811636542,0.1070494811636542,0.06789525840293198,1.0,False,True,,False
6,网络安全,5,5,5,0.0,0,0,5,0,,1.1048914478333536,0.10489144783335358,-0.02504879789055714,1.0,True,True,,True
7,军工,5,5,5,0.0,0,1,4,0,,1.0559999838293173,0.05599998382931726,-0.008557309454885642,0.4,False,False,,False
8,航运港口,5,5,5,0.0,0,2,3,0,,1.0548114785536478,0.05481147855364776,-0.010062362840133843,0.8,False,True,,False
9,银行,5,5,5,0.0,0,0,5,0,,1.038680168099373,0.038680168099372914,-0.009231402240764575,0.6,False,False,,False
10,黄金概念,5,5,5,0.0,0,5,0,0,,1.0323702248304094,0.03237022483040941,0.02505684951506848,0.0,False,False,,False
11,CPO,5,5,5,1.0,1,5,0,0,002281 光迅科技,1.0283189340351429,0.02831893403514285,0.06769266753623593,1.0,False,True,,False
12,人工智能,5,5,5,0.0,0,1,4,0,,1.027512414737716,0.02751241473771593,0.02834699759154491,0.4,False,False,,False
13,电力,5,5,5,0.0,0,0,5,0,,1.0272615559685288,0.02726155596852875,-0.007855518090949087,1.0,False,True,,False
14,农林牧渔,5,5,5,0.0,0,0,5,0,,1.023742378816986,0.023742378816985932,-0.021417992424565768,0.2,False,False,,False
15,AI医疗,5,5,5,0.0,0,3,1,1,,1.0113741111725092,0.011374111172509194,0.001352988834064428,0.2,False,False,,False
16,纺织服饰,5,5,5,0.0,0,0,4,1,,1.008993407800797,0.008993407800796938,-0.01356201152669989,0.2,False,False,,False
17,美容护理,5,5,5,0.0,0,3,2,0,,1.00894737659027,0.008947376590269895,0.0005156907877328365,0.0,False,False,,False
18,石油石化,5,5,5,0.0,0,1,3,1,,1.003461259660639,0.0034612596606389268,-0.006571196063255291,0.0,False,False,,False
19,航空机场,5,5,5,0.0,0,0,5,0,,0.9974189820363806,-0.0025810179636194253,-0.009179083195363535,0.0,False,False,,False
20,环保,5,5,5,0.0,0,3,1,1,,0.9963299560993223,-0.003670043900677711,0.007123773932974808,0.0,False,False,,False
21,传媒,5,5,5,0.0,0,4,1,0,,0.9941625238114531,-0.005837476188546908,0.0034917340726465795,0.0,False,False,,False
22,低空经济,5,5,5,0.0,0,2,3,0,,0.9925664768016811,-0.007433523198318914,0.0045714305431003854,0.0,False,False,,False
23,商贸零售,5,5,5,0.0,0,2,1,2,,0.9900165085449903,-0.009983491455009652,0.0003133640184747044,0.0,False,False,,False
24,消费电子,5,5,5,0.0,0,4,1,0,,0.9858220304015078,-0.014177969598492157,0.024514142499976188,0.2,False,False,,False
25,建筑装饰,5,5,5,0.0,0,0,4,1,,0.9834101762167025,-0.01658982378329754,-0.008741912864629886,0.0,False,False,,False
26,社会服务,5,5,5,0.0,0,0,4,1,,0.9799186401595752,-0.020081359840424806,-0.00409135162861618,0.0,False,False,,False
27,轨交设备,5,5,5,0.0,0,0,5,0,,0.979333879302385,-0.020666120697614976,-0.005567882233632249,0.0,False,False,,False
28,证券,5,5,5,0.0,0,3,2,0,,0.975790699116213,-0.024209300883787033,0.002031303215552782,0.0,False,False,,False
29,农业种植,5,5,5,0.0,0,4,1,0,,0.9744317214256737,-0.02556827857432631,0.007587044468315041,0.0,False,False,,False
30,5G,5,5,5,0.0,0,4,1,0,,0.9737263417262872,-0.026273658273712752,0.026710409032982163,0.4,False,False,,False
31,国产算力,5,5,5,0.0,0,4,1,0,,0.972042268115491,-0.027957731884509007,0.020786877722551278,0.0,False,False,,False
32,AIGC,5,5,5,0.0,0,3,2,0,,0.9713207932630437,-0.028679206736956342,0.002094580647446165,0.0,False,False,,False
33,钢铁,5,5,5,0.0,0,0,5,0,,0.9712559040570166,-0.02874409594298344,-0.014601557040470947,0.0,False,False,,False
34,家用电器,5,5,5,0.0,0,1,4,0,,0.9684656988625925,-0.03153430113740752,-0.007685480866124417,0.2,False,False,,False
35,有色金属,5,5,5,0.0,0,4,1,0,,0.9680961005173332,-0.03190389948266681,0.012744742383338226,0.0,False,False,,False
36,游戏,5,5,5,0.0,0,2,2,1,,0.9672882236815932,-0.03271177631840683,-0.0021919488953343613,0.0,False,False,,False
37,大数据,5,5,5,0.0,0,4,1,0,,0.9659904281929194,-0.03400957180708064,0.009558819040695443,0.2,False,False,,False
38,煤炭,5,5,5,0.0,0,0,3,2,,0.960287671782414,-0.03971232821758597,-0.0036511735646949095,0.0,False,False,,False
39,基础化工,5,5,5,0.0,0,0,5,0,,0.9593450587210217,-0.040654941278978285,-0.03380734317082168,0.0,False,False,,False
40,半导体设备,5,5,5,0.0,0,5,0,0,,0.9584365613757487,-0.04156343862425127,0.051399645236539504,0.8,False,True,,False
41,食品饮料,5,5,5,0.0,0,1,4,0,,0.9530369626016777,-0.046963037398322305,-0.009424689241699813,0.0,False,False,,False
42,信创,5,5,5,0.0,0,1,4,0,,0.948914546331671,-0.05108545366832895,-0.009152513314160338,0.4,False,False,,False
43,光学光电子,5,5,5,0.0,0,5,0,0,,0.9488036808475504,-0.0511963191524496,0.024904221967353868,0.0,False,False,,False
44,物流,5,5,5,0.0,0,1,4,0,,0.9434753698760736,-0.05652463012392639,-0.010158242251863236,0.0,False,False,,False
45,半导体,5,5,5,0.0,0,5,0,0,,0.9418237233398794,-0.058176276660120596,0.0532484955228365,0.2,False,False,,False
46,风电设备,5,5,5,0.0,0,0,5,0,,0.9413975518951816,-0.058602448104818405,-0.015162923008235296,0.6,False,False,,False
47,房地产,5,5,5,0.0,0,1,2,2,,0.9413617734723823,-0.05863822652761774,-0.0006752055885267394,0.0,False,False,,False
48,云计算,5,5,5,0.0,0,5,0,0,,0.9350950874309621,-0.06490491256903785,0.018539563085745447,0.0,False,False,,False
49,轻工制造,5,5,5,0.0,0,0,5,0,,0.9330527788161109,-0.06694722118388907,-0.013021009709871412,0.0,False,False,,False
50,存储,5,5,5,0.0,0,5,0,0,,0.9306148214809333,-0.06938517851906667,0.034628101238968645,0.2,False,False,,False
51,工程机械,5,5,5,0.0,0,0,5,0,,0.9269135369174419,-0.07308646308255806,-0.06774754960713403,0.0,False,False,,False
52,稀土永磁,5,5,5,0.0,0,4,1,0,,0.9179396376274607,-0.08206036237253933,0.0026978404210968865,0.2,False,False,,False
53,建材,5,5,5,0.0,0,0,4,1,,0.9136439711587749,-0.08635602884122506,-0.013337740246718743,0.0,False,False,,False
54,商业航天,5,5,5,0.0,0,5,0,0,,0.9043355054079595,-0.09566449459204052,0.016281660117015706,0.4,False,False,,False
55,医药生物,5,5,5,0.0,0,3,2,0,,0.8811307671671378,-0.11886923283286221,0.0026748069681465925,0.4,False,False,,False
56,机器人,5,5,5,0.0,0,3,2,0,,0.8781935395141917,-0.12180646048580834,0.00399054679209887,0.0,False,False,,False
57,电网设备,5,5,5,0.0,0,1,3,1,,0.8481650097199633,-0.15183499028003666,-0.010261188804338905,0.0,False,False,,False
58,储能,5,5,5,0.0,0,3,2,0,,0.8221433840754079,-0.17785661592459212,-0.002576916443633226,0.0,False,False,,False
59,光伏,5,5,5,0.0,0,2,2,1,,0.7951787060338918,-0.20482129396610815,-0.0007575829855189786,0.0,False,False,,False
60,保险,5,4,4,,0,0,4,0,,,,,,,,000627,False
61,智能驾驶,5,5,5,0.0,0,2,2,1,,,,-0.0007855821280491337,0.2,False,False,历史窗口价格不完整,False
62,汽车零部件,5,5,5,0.0,0,1,3,1,,,,-0.005387730944396485,0.2,False,False,历史窗口价格不完整,False
