date,open,high,low,close,volume,amount,outstanding_share,turnover
2025-12-01,3.25,3.29,3.24,3.27,21173221.0,70101701.0,7544531351.0,0.0028064329001951283
2025-12-02,3.28,3.29,3.25,3.28,15045900.0,49807218.0,7544531351.0,0.0019942789419260245
2025-12-03,3.28,3.31,3.26,3.29,21687602.0,72148140.0,7544531351.0,0.0028746122179113733
2025-12-04,3.27,3.3,3.27,3.29,17882248.0,59496948.0,7544531351.0,0.0023702264816793123
2025-12-05,3.29,3.3,3.26,3.29,17638800.0,58542855.0,7544531351.0,0.002337958340866599
2025-12-08,3.29,3.31,3.27,3.29,23429613.0,78064727.0,7544531351.0,0.0031055093961395615
2025-12-09,3.29,3.3,3.26,3.26,15639325.0,51806146.0,7544531351.0,0.002072935252356936
2025-12-10,3.26,3.3,3.25,3.29,18721805.0,62023938.0,7544531351.0,0.0024815066872932398
2025-12-11,3.29,3.29,3.23,3.24,19592160.0,64537138.0,7544531351.0,0.0025968690550146802
2025-12-12,3.24,3.25,3.19,3.19,31489305.0,102458315.0,7544531351.0,0.004173792053475424
2025-12-15,3.19,3.22,3.19,3.21,16864300.0,54743268.0,7544531351.0,0.0022353012023423693
2025-12-16,3.21,3.22,3.18,3.19,19040670.0,61398240.0,7544531351.0,0.002523771075253896
2025-12-17,3.19,3.21,3.17,3.2,21605428.0,69624949.0,7544531351.0,0.0028637203551598045
2025-12-18,3.19,3.21,3.19,3.2,13250000.0,42878755.0,7544531351.0,0.0017562389741072203
2025-12-19,3.2,3.23,3.19,3.21,18012000.0,58631847.0,7544531351.0,0.0023874246340844715
2025-12-22,3.22,3.26,3.21,3.25,22587360.0,74122079.0,7544531351.0,0.00299387184559928
2025-12-23,3.26,3.28,3.22,3.22,19549384.0,64093136.0,7544531351.0,0.002591199252874574
2025-12-24,3.23,3.24,3.21,3.24,14044300.0,45877969.0,7544531351.0,0.0018615205301172855
2025-12-25,3.24,3.27,3.24,3.26,14923775.0,49134295.0,7544531351.0,0.001978091720438263
