rank,code,name,role,close_price,daily_return,amount20,relative20,relative5,trend,stability,extension,volume_price,volume_ratio20,up_down_volume_ratio10,volume_price_reasons,relative20_score,relative5_score,trend_score,stability_score,volume_price_score,score
1,601975,招商南油,航运,4.58,-0.01505376344086029,899622391.05,0.13314655016620436,-0.013798861820670583,1.0,0.47150259067357486,0.0836389447533421,70.0,1.1025528186481153,1.4330422945436303,近10日上涨日均量/下跌日均量≥1.2 +20,100.0,85.71428571428571,71.42857142857143,96.42857142857143,75.0,85.89285714285714
2,600026,中远海能,航运,20.9,0.0019175455417066445,1451758850.0,0.07216021312755494,0.014002950156083438,1.0,0.3712296983758703,0.07042253521126751,70.0,1.2103010183290601,1.4432075824394175,近10日上涨日均量/下跌日均量≥1.2 +20,96.42857142857143,96.42857142857143,71.42857142857143,89.28571428571429,75.0,84.82142857142857
3,601298,青岛港,港口运营,9.59,0.008412197686645584,86731174.4,-0.008230476741885151,-0.009782349411516011,1.0,0.574468085106384,0.04688608700398467,70.0,1.0476421359566617,1.2204427615908566,近10日上涨日均量/下跌日均量≥1.2 +20,82.14285714285714,89.28571428571429,71.42857142857143,100.0,75.0,81.42857142857143
4,600018,上港集团,港口运营,5.47,-0.0036429872495447047,308206079.65,-0.024210341369260036,-0.02937024886818096,1.0,0.37254901960784353,0.023482084385817226,90.0,0.6637307529343901,1.4196924693566184,上升趋势缩量回调且守住MA20 +20；近10日上涨日均量/下跌日均量≥1.2 +20,67.85714285714286,64.28571428571429,71.42857142857143,92.85714285714286,100.0,78.57142857142858
5,601018,宁波港,港口运营,3.52,0.002849002849002913,194142377.7,-0.03729939011501715,-0.025175137665584435,1.0,0.3703703703703701,0.01748807631160587,70.0,0.8285003974696713,1.3177792112965523,近10日上涨日均量/下跌日均量≥1.2 +20,60.71428571428571,78.57142857142857,71.42857142857143,85.71428571428571,75.0,71.78571428571428
6,601872,招商轮船,航运,20.0,0.0,2509080866.2,0.015094143763066947,0.02537028298952948,1.0,0.1966449207828517,0.04871270515442294,50.0,1.705683340234585,1.1169593345559214,未触发量价加减分（中性50分）,92.85714285714286,100.0,71.42857142857143,60.71428571428571,32.142857142857146,71.25000000000001
7,600798,宁波海运,航运,3.6,0.05263157894736836,109968489.55,-0.0003650881511229054,0.005699914295444586,0.75,0.2727272727272728,0.06856634016028496,70.0,4.12880255401434,1.565886031032387,近10日上涨日均量/下跌日均量≥1.2 +20,85.71428571428571,92.85714285714286,28.57142857142857,75.0,75.0,68.39285714285714
8,603209,兴通股份,航运,14.68,0.002732240437158362,93372881.95,-0.01989227013013173,-0.028556546106316305,1.0,0.3139534883720931,0.021608267511047607,50.0,0.8511602492916243,0.9855448986659526,未触发量价加减分（中性50分）,75.0,71.42857142857143,71.42857142857143,82.14285714285714,32.142857142857146,66.25
9,000088,盐 田 港,港口运营,4.64,0.013100436681222627,145229468.25,-0.05535247941575483,-0.022837895238408956,1.0,0.24324324324324337,0.020789792102078986,70.0,1.3966032905988703,1.3329541674573133,近10日上涨日均量/下跌日均量≥1.2 +20,46.42857142857143,82.14285714285714,71.42857142857143,67.85714285714286,75.0,65.17857142857143
10,600017,日照港,港口运营,2.87,0.0034965034965035446,119261671.35,-0.02398317892108548,-0.03166954946050582,1.0,0.28571428571428553,0.022626046677356015,50.0,0.8472236949097312,1.1078500655737136,未触发量价加减分（中性50分）,71.42857142857143,53.57142857142857,71.42857142857143,78.57142857142857,32.142857142857146,62.857142857142854
11,000507,珠海港,港口运营,5.1,-0.001956947162426781,51247940.0,-0.0682477406157096,-0.03038422614802616,1.0,0.18309859154929564,0.008602788490062352,70.0,0.9112667561223834,1.376320058954786,近10日上涨日均量/下跌日均量≥1.2 +20,35.714285714285715,60.71428571428571,71.42857142857143,53.57142857142857,75.0,57.67857142857142
12,000905,厦门港务,港口运营,9.01,-0.0011086474501108556,137754180.25,-0.03296744426944098,-0.05438566808565448,1.0,0.19855595667870013,0.01859702673675878,50.0,1.2988274521894605,0.8112671818512442,未触发量价加减分（中性50分）,64.28571428571429,17.857142857142858,71.42857142857143,64.28571428571429,32.142857142857146,55.00000000000001
13,600717,天津港,港口运营,4.35,-0.002293577981651529,90618377.05,-0.06844164022573695,-0.03736556509846156,1.0,0.18032786885245825,0.004967078664664282,70.0,0.8767980152912833,1.344336107553409,近10日上涨日均量/下跌日均量≥1.2 +20,32.142857142857146,42.857142857142854,71.42857142857143,50.0,75.0,54.28571428571429
14,600279,重庆港,港口运营,4.42,0.013761467889908063,35458179.45,-0.05345104593051908,-0.035243348477124736,1.0,0.2500000000000006,0.00993944933165758,30.0,1.9306606253374776,1.0268568566701155,明显放量且上影占振幅至少一半 -20,50.0,50.0,71.42857142857143,71.42857142857143,10.714285714285714,50.71428571428572
15,603565,中谷物流,航运,11.88,0.0008424599831509116,412595962.6,0.010970977859534381,-0.06921362797137054,0.75,0.18417047184170474,-0.038640501719603315,50.0,0.6597471642615294,0.9920342139055658,未触发量价加减分（中性50分）,89.28571428571429,10.714285714285714,28.57142857142857,57.14285714285714,32.142857142857146,50.0
16,601000,唐山港,港口运营,4.6,0.015452538631346435,194108704.25,-0.06559107978928602,-0.031261706486353735,1.0,0.1287128712871283,0.00579424948070395,50.0,0.8434674040522366,0.9655889075588321,未触发量价加减分（中性50分）,42.857142857142854,57.14285714285714,71.42857142857143,35.714285714285715,32.142857142857146,48.214285714285715
17,601008,连云港,港口运营,4.56,0.008849557522123908,123392551.95,-0.0525199531171513,-0.026852807503576437,1.0,0.11949685534591124,0.013783903957314214,0.0,2.0663816850073524,0.7501390673464493,近10日下跌日均量占优 -20；明显放量但涨幅≤1% -20；明显放量且上影占振幅至少一半 -20,53.57142857142857,75.0,71.42857142857143,32.142857142857146,5.357142857142857,47.32142857142857
18,601228,广州港,港口运营,3.12,0.0,70227731.3,-0.06810350651982966,-0.03871041418148169,1.0,0.16666666666666666,0.006938841374858784,50.0,1.079264807449343,1.1030366192633074,未触发量价加减分（中性50分）,39.285714285714285,35.714285714285715,71.42857142857143,46.42857142857143,32.142857142857146,46.60714285714286
