signal_date,trade_date,action,sector,from_sector,to_sector,rs20,score,reason,target_weight,nav_at_open,cycle_return,losing_cycle_streak
2018-01-02,2018-01-03,BUY,电子布,,电子布,1.239963257145945,1.239963257145945,ENTRY_TOP1,1.0,600000.0,,
2018-01-16,2018-01-17,SWITCH,房地产,电子布,房地产,1.3702064496626345,1.3702064496626345,STRONGER_RS20_MARGIN_2%,1.0,580879.4267309264,,
2018-02-02,2018-02-05,SELL,房地产,房地产,,,,DOUBLE_MA20_BREAK,0.0,591910.1794892099,-0.013483034184650133,1.0
2018-03-12,2018-03-13,BUY,云计算,,云计算,1.5280778794772762,1.5280778794772762,ENTRY_TOP1,1.0,591910.1794892099,,
2018-03-15,2018-03-16,SELL,云计算,云计算,,,,MARKET_MA180_AND_SECTOR_MA10_BREAK,0.0,566663.6035061765,-0.042652714648056866,2.0
2019-02-18,2019-02-19,BUY,农林牧渔,,农林牧渔,1.265369765369765,1.265369765369765,ENTRY_TOP1,1.0,566663.6035061765,,
2019-02-25,2019-02-26,SWITCH,光学光电子,农林牧渔,光学光电子,1.4354202002311514,1.4354202002311514,STRONGER_RS20_MARGIN_2%,1.0,600833.9241955376,,
2019-02-27,2019-02-28,SWITCH,5G,光学光电子,5G,1.4268651466214703,1.4268651466214703,STRONGER_RS20_MARGIN_2%,1.0,571763.9333364586,,
2019-03-08,2019-03-11,SWITCH,云计算,5G,云计算,1.487228676934162,1.487228676934162,STRONGER_RS20_MARGIN_2%,1.0,588932.2290996679,,
2019-03-22,2019-03-25,SWITCH,游戏,云计算,游戏,1.3208024044810782,1.3208024044810782,STRONGER_RS20_MARGIN_2%,1.0,550234.4820493637,,
2019-03-27,2019-03-28,SELL,游戏,游戏,,,,DOUBLE_MA20_BREAK,0.0,519185.1523117273,-0.08378595501931108,3.0
2019-06-12,2019-06-13,BUY,农业种植,,农业种植,1.214210849332412,1.214210849332412,ENTRY_TOP1,1.0,519185.1523117273,,
2019-06-19,2019-06-20,SWITCH,黄金概念,农业种植,黄金概念,1.1937011972930767,1.1937011972930767,STRONGER_RS20_MARGIN_2%,1.0,495138.04089947755,,
2019-07-10,2019-07-11,SELL,黄金概念,黄金概念,,,,DOUBLE_MA20_BREAK,0.0,543529.7970523861,0.04689010198435306,0.0
2019-07-30,2019-07-31,BUY,PCB,,PCB,1.1720307405682346,1.1720307405682346,ENTRY_TOP1,1.0,543529.7970523861,,
2019-09-10,2019-09-11,SWITCH,储能,PCB,储能,1.2934843972045393,1.2934843972045393,STRONGER_RS20_MARGIN_2%,1.0,730790.1909038463,,
2019-09-17,2019-09-18,SWITCH,PCB,储能,PCB,1.1870221729105628,1.1870221729105628,STRONGER_RS20_MARGIN_2%,1.0,708387.1803808511,,
2019-09-24,2019-09-25,SWITCH,光学光电子,PCB,光学光电子,1.3418056201421644,1.3418056201421644,STRONGER_RS20_MARGIN_2%,1.0,745991.7309507919,,
2019-10-08,2019-10-09,SELL,光学光电子,光学光电子,,,,MARKET_MA180_AND_SECTOR_MA10_BREAK,0.0,682733.2223625653,0.25611001653468257,0.0
2019-10-16,2019-10-17,BUY,消费电子,,消费电子,1.1435975528305418,1.1435975528305418,ENTRY_TOP1,1.0,682733.2223625653,,
2019-10-28,2019-10-29,SWITCH,农林牧渔,消费电子,农林牧渔,1.2393553358582132,1.2393553358582132,STRONGER_RS20_MARGIN_2%,1.0,708204.4321750182,,
2019-11-07,2019-11-08,SWITCH,消费电子,农林牧渔,消费电子,1.2012755102040817,1.2012755102040817,STRONGER_RS20_MARGIN_2%,1.0,699625.2838935157,,
2019-11-21,2019-11-22,SELL,消费电子,消费电子,,,,MARKET_MA180_AND_SECTOR_MA10_BREAK,0.0,700873.6326439045,0.02657027618864838,0.0
2019-12-13,2019-12-16,BUY,储能,,储能,1.2572708430835058,1.2572708430835058,ENTRY_TOP1,1.0,700873.6326439045,,
2019-12-26,2019-12-27,SWITCH,传媒,储能,传媒,1.2048636790974616,1.2048636790974616,STRONGER_RS20_MARGIN_2%,1.0,744598.9101345025,,
2020-01-07,2020-01-08,SWITCH,农业种植,传媒,农业种植,1.4013062261762013,1.4013062261762013,STRONGER_RS20_MARGIN_2%,1.0,816787.1955605503,,
2020-01-23,2020-02-03,SELL,农业种植,农业种植,,,,DOUBLE_MA20_BREAK,0.0,638994.6606600754,-0.08828834343561076,1.0
2020-02-17,2020-02-18,BUY,商业航天,,商业航天,1.4524474882250298,1.4524474882250298,ENTRY_TOP1,1.0,638994.6606600754,,
2020-02-27,2020-02-28,SWITCH,云计算,商业航天,云计算,1.4236440725187554,1.4236440725187554,STRONGER_RS20_MARGIN_2%,1.0,589020.281990668,,
2020-03-06,2020-03-09,SWITCH,农林牧渔,云计算,农林牧渔,1.3488640739314592,1.3488640739314592,STRONGER_RS20_MARGIN_2%,1.0,575573.3004751713,,
2020-03-13,2020-03-16,SELL,农林牧渔,农林牧渔,,,,MARKET_MA180_AND_SECTOR_MA10_BREAK,0.0,554268.0115721199,-0.13259367300570812,2.0
2020-06-05,2020-06-08,BUY,商贸零售,,商贸零售,1.2317355687707483,1.2317355687707483,ENTRY_TOP1,1.0,554268.0115721199,,
2020-07-20,2020-07-21,SWITCH,军工,商贸零售,军工,1.6127681363495052,1.6127681363495052,STRONGER_RS20_MARGIN_2%,1.0,963607.3509377736,,
2020-08-14,2020-08-17,SWITCH,农业种植,军工,农业种植,1.3448431262330693,1.3448431262330693,STRONGER_RS20_MARGIN_2%,1.0,1264341.0584985798,,
2020-08-26,2020-08-27,SELL,农业种植,农业种植,,,,DOUBLE_MA20_BREAK,0.0,1239784.242386316,1.2367955871561218,0.0
2020-09-03,2020-09-04,BUY,传媒,,传媒,1.1511450016732803,1.1511450016732803,ENTRY_TOP1,1.0,1239784.242386316,,
2020-09-09,2020-09-10,SELL,传媒,传媒,,,,DOUBLE_MA20_BREAK,0.0,1168974.376471334,-0.057114668418989045,1.0
2020-09-18,2020-09-21,BUY,工程机械,,工程机械,1.126752026668687,1.126752026668687,ENTRY_TOP1,1.0,1168974.376471334,,
2020-10-13,2020-10-14,SWITCH,储能,工程机械,储能,1.2238116197183102,1.2238116197183102,STRONGER_RS20_MARGIN_2%,1.0,1226101.9301550612,,
2020-10-16,2020-10-19,SWITCH,风电设备,储能,风电设备,1.3103858154623351,1.3103858154623351,STRONGER_RS20_MARGIN_2%,1.0,1188908.381745526,,
2020-10-28,2020-10-29,SWITCH,AI医疗,风电设备,AI医疗,1.2293242135395386,1.2293242135395386,STRONGER_RS20_MARGIN_2%,1.0,1061450.736074654,,
2020-11-03,2020-11-04,SWITCH,机器人,AI医疗,机器人,1.3461190469662487,1.3461190469662487,STRONGER_RS20_MARGIN_2%,1.0,1062285.236660482,,
2020-11-27,2020-11-30,SELL,机器人,机器人,,,,TREND_T3,0.0,1093709.6783582764,-0.0643852419932861,2.0
2020-12-07,2020-12-08,BUY,工程机械,,工程机械,1.17539975399754,1.17539975399754,ENTRY_TOP1,1.0,1093709.6783582764,,
2020-12-16,2020-12-17,SWITCH,储能,工程机械,储能,1.2094980416408985,1.2094980416408985,STRONGER_RS20_MARGIN_2%,1.0,1071524.9450230363,,
2021-01-04,2021-01-05,SELL,储能,储能,,,,SECTOR_DAILY_GAIN_OVER_10%_PAUSE,0.0,1354436.5906780465,0.23838767954502948,0.0
2021-01-05,2021-01-06,BUY,储能,,储能,1.5338929632705334,1.5338929632705334,ENTRY_TOP1,1.0,1354436.5906780465,,
2021-01-19,2021-01-20,SWITCH,智能驾驶,储能,智能驾驶,1.2995596806893057,1.2995596806893057,STRONGER_RS20_MARGIN_2%,1.0,1325439.2570125302,,
2021-01-21,2021-01-22,SWITCH,汽车零部件,智能驾驶,汽车零部件,1.3745921437349042,1.3745921437349042,STRONGER_RS20_MARGIN_2%,1.0,1393097.215512922,,
2021-01-28,2021-01-29,SWITCH,储能,汽车零部件,储能,1.3346103851679552,1.3346103851679552,STRONGER_RS20_MARGIN_2%,1.0,1289246.6663607326,,
2021-02-02,2021-02-03,SWITCH,基础化工,储能,基础化工,1.2610568872804169,1.2610568872804169,STRONGER_RS20_MARGIN_2%,1.0,1304576.5547111304,,
2021-02-08,2021-02-09,SWITCH,轻工制造,基础化工,轻工制造,1.2566620909533721,1.2566620909533721,STRONGER_RS20_MARGIN_2%,1.0,1375408.7063372142,,
2021-02-24,2021-02-25,SELL,轻工制造,轻工制造,,,,DOUBLE_MA20_BREAK,0.0,1271869.4747064144,-0.06096048832400347,1.0
2021-04-07,2021-04-08,BUY,航运港口,,航运港口,1.1648219441770935,1.1648219441770935,ENTRY_TOP1,1.0,1271869.4747064144,,
2021-04-15,2021-04-16,SELL,航运港口,航运港口,,,,DOUBLE_MA20_BREAK,0.0,1176362.5636577515,-0.07509175504877075,2.0
2021-05-19,2021-05-20,BUY,储能,,储能,1.346959082140319,1.346959082140319,ENTRY_TOP1,1.0,1176362.5636577515,,
2021-06-16,2021-06-17,SELL,储能,储能,,,,DOUBLE_MA20_BREAK,0.0,1235923.8948906919,0.050631780603202614,0.0
2021-06-28,2021-06-29,BUY,消费电子,,消费电子,1.1664620492468585,1.1664620492468585,ENTRY_TOP1,1.0,1235923.8948906919,,
2021-07-08,2021-07-09,SWITCH,储能,消费电子,储能,1.3107914154455735,1.3107914154455735,STRONGER_RS20_MARGIN_2%,1.0,1187592.8050057616,,
2021-07-27,2021-07-28,SELL,储能,储能,,,,DOUBLE_MA20_BREAK,0.0,1195406.185673039,-0.03278333672902767,1.0
