date,nav,cash,position,exposure,cost,stale_mark,delayed,daily_return,cumulative_return,drawdown,codes
2018-01-02,600000.0,600000.0,现金,0.0,0.0,False,False,0.0,0.0,0.0,
2018-01-03,609153.0350924234,0.0,电子布,1.0,479.6163069544365,False,False,0.015255058487372297,0.015255058487372297,0.0,600183 / 000920 / 002080 / 601636 / 600176
2018-01-04,606503.4518925989,0.0,电子布,1.0,0.0,False,False,-0.004349618317870729,0.01083908648766485,-0.004349618317870729,600183 / 000920 / 002080 / 601636 / 600176
2018-01-05,605904.8445511326,0.0,电子布,1.0,0.0,False,False,-0.000986980930773429,0.009841407585221118,-0.0053323062583082725,600183 / 000920 / 002080 / 601636 / 600176
2018-01-08,616970.7569950231,0.0,电子布,1.0,0.0,False,False,0.018263449357445394,0.028284594991705214,0.0,600183 / 000920 / 002080 / 601636 / 600176
2018-01-09,604975.2125752022,0.0,电子布,1.0,0.0,False,False,-0.019442646647055972,0.00829202095867032,-0.019442646647055972,600183 / 000920 / 002080 / 601636 / 600176
2018-01-10,601125.2808165383,0.0,电子布,1.0,0.0,False,False,-0.006363784298328401,0.0018754680275636648,-0.025682702135933932,600183 / 000920 / 002080 / 601636 / 600176
2018-01-11,589147.6507649415,0.0,电子布,1.0,0.0,False,False,-0.0199253474006732,-0.018087248725097593,-0.04509631277436066,600183 / 000920 / 002080 / 601636 / 600176
2018-01-12,584651.3056205887,0.0,电子布,1.0,0.0,False,False,-0.007631949543573269,-0.025581157299018775,-0.05238408953423879,600183 / 000920 / 002080 / 601636 / 600176
2018-01-15,566281.1103467306,0.0,电子布,1.0,0.0,False,False,-0.0314207718297298,-0.05619814942211576,-0.08215891283920518,600183 / 000920 / 002080 / 601636 / 600176
2018-01-16,578539.6062498344,0.0,电子布,1.0,0.0,False,False,0.021647368557990543,-0.03576732291694262,-0.06229006854776864,600183 / 000920 / 002080 / 601636 / 600176
2018-01-17,582613.0018748377,0.0,房地产,1.0,1217.8973808712276,False,False,0.007040824138916824,-0.028978330208603853,-0.05568781782709775,000002 / 600048 / 001979 / 600340 / 000069
2018-01-18,576358.651464124,0.0,房地产,1.0,0.0,False,False,-0.01073499971780123,-0.03940224755979338,-0.0658250088362401,000002 / 600048 / 001979 / 600340 / 000069
2018-01-19,572567.5771185869,0.0,房地产,1.0,0.0,False,False,-0.006577630674765911,-0.04572070480235524,-0.07196966691371798,000002 / 600048 / 001979 / 600340 / 000069
2018-01-22,577475.1003206531,0.0,房地产,1.0,0.0,False,False,0.00857108121064587,-0.037541499465578276,-0.06401544356289268,000002 / 600048 / 001979 / 600340 / 000069
2018-01-23,596031.9019725517,0.0,房地产,1.0,0.0,False,False,0.032134375389683,-0.006613496712413847,-0.033938164467396836,000002 / 600048 / 001979 / 600340 / 000069
2018-01-24,591377.8539247492,0.0,房地产,1.0,0.0,False,False,-0.007808387491340829,-0.014370243458751375,-0.041481549619831304,000002 / 600048 / 001979 / 600340 / 000069
2018-01-25,586557.0003740183,0.0,房地产,1.0,0.0,False,False,-0.008151900715822724,-0.022404999376636092,-0.0492952968616146,000002 / 600048 / 001979 / 600340 / 000069
2018-01-26,593103.5626682524,0.0,房地产,1.0,0.0,False,False,0.011160999340319222,-0.011494062219579382,-0.03868448229704868,000002 / 600048 / 001979 / 600340 / 000069
2018-01-29,585748.5475238324,0.0,房地产,1.0,0.0,False,False,-0.012400895235447962,-0.023752420793612616,-0.050605655320293486,000002 / 600048 / 001979 / 600340 / 000069
2018-01-30,567385.6505620893,0.0,房地产,1.0,0.0,False,False,-0.03134945368515152,-0.05435724906318451,-0.08036864935777466,000002 / 600048 / 001979 / 600340 / 000069
2018-01-31,586512.1069156433,0.0,房地产,1.0,0.0,False,False,0.03370979920730477,-0.022479821807261158,-0.04936806118288273,000002 / 600048 / 001979 / 600340 / 000069
2018-02-01,588322.0575379676,0.0,房地产,1.0,0.0,False,False,0.003085956114090127,-0.019463237436720737,-0.04643445273904068,000002 / 600048 / 001979 / 600340 / 000069
2018-02-02,599596.1741956469,0.0,房地产,1.0,0.0,False,False,0.0191631717920957,-0.0006730430072552362,-0.028161112341855032,000002 / 600048 / 001979 / 600340 / 000069
2018-02-05,589428.7501161554,589428.7501161554,现金,0.0,767.2548063993211,False,False,-0.0169571196699696,-0.017618749806407763,-0.04464070065980441,
2018-02-06,589428.7501161554,589428.7501161554,现金,0.0,0.0,False,False,0.0,-0.017618749806407763,-0.04464070065980441,
2018-02-07,589428.7501161554,589428.7501161554,现金,0.0,0.0,False,False,0.0,-0.017618749806407763,-0.04464070065980441,
2018-02-08,589428.7501161554,589428.7501161554,现金,0.0,0.0,False,False,0.0,-0.017618749806407763,-0.04464070065980441,
2018-02-09,589428.7501161554,589428.7501161554,现金,0.0,0.0,False,False,0.0,-0.017618749806407763,-0.04464070065980441,
2018-02-12,589428.7501161554,589428.7501161554,现金,0.0,0.0,False,False,0.0,-0.017618749806407763,-0.04464070065980441,
2018-02-13,589428.7501161554,589428.7501161554,现金,0.0,0.0,False,False,0.0,-0.017618749806407763,-0.04464070065980441,
2018-02-14,589428.7501161554,589428.7501161554,现金,0.0,0.0,False,False,0.0,-0.017618749806407763,-0.04464070065980441,
2018-02-22,589428.7501161554,589428.7501161554,现金,0.0,0.0,False,False,0.0,-0.017618749806407763,-0.04464070065980441,
2018-02-23,589428.7501161554,589428.7501161554,现金,0.0,0.0,False,False,0.0,-0.017618749806407763,-0.04464070065980441,
2018-02-26,589428.7501161554,589428.7501161554,现金,0.0,0.0,False,False,0.0,-0.017618749806407763,-0.04464070065980441,
2018-02-27,589428.7501161554,589428.7501161554,现金,0.0,0.0,False,False,0.0,-0.017618749806407763,-0.04464070065980441,
2018-02-28,589428.7501161554,589428.7501161554,现金,0.0,0.0,False,False,0.0,-0.017618749806407763,-0.04464070065980441,
2018-03-01,589428.7501161554,589428.7501161554,现金,0.0,0.0,False,False,0.0,-0.017618749806407763,-0.04464070065980441,
2018-03-02,589428.7501161554,589428.7501161554,现金,0.0,0.0,False,False,0.0,-0.017618749806407763,-0.04464070065980441,
2018-03-05,589428.7501161554,589428.7501161554,现金,0.0,0.0,False,False,0.0,-0.017618749806407763,-0.04464070065980441,
2018-03-06,589428.7501161554,589428.7501161554,现金,0.0,0.0,False,False,0.0,-0.017618749806407763,-0.04464070065980441,
2018-03-07,589428.7501161554,589428.7501161554,现金,0.0,0.0,False,False,0.0,-0.017618749806407763,-0.04464070065980441,
