signal_date,trade_date,action,sector,from_sector,to_sector,rs20,score,reason,target_weight,nav_at_open,cycle_return,losing_cycle_streak
2018-01-02,2018-01-03,BUY,电子布,,电子布,1.239963257145945,1.239963257145945,ENTRY_TOP1,1.0,600000.0,,
2018-01-16,2018-01-17,SWITCH,房地产,电子布,房地产,1.3702064496626345,1.3702064496626345,STRONGER_RS20_MARGIN_4%,1.0,580879.4267309264,,
2018-02-02,2018-02-05,SELL,房地产,房地产,,,,DOUBLE_MA20_BREAK,0.0,591910.1794892099,-0.013483034184650133,1.0
2018-03-08,2018-03-09,BUY,云计算,,云计算,1.4948758972584968,1.4948758972584968,ENTRY_TOP1,1.0,591910.1794892099,,
2018-03-14,2018-03-15,SELL,云计算,云计算,,,,MARKET_MA180_AND_SECTOR_MA10_BREAK,0.0,582779.3768231864,-0.01542599364299313,2.0
2018-03-20,2018-03-21,BUY,CPO,,CPO,1.2435770869952565,1.2435770869952565,ENTRY_TOP1,1.0,582779.3768231864,,
2018-03-21,2018-03-22,SELL,CPO,CPO,,,,MARKET_MA180_AND_SECTOR_MA10_BREAK,0.0,568146.8943810783,-0.025108099263690287,3.0
2018-05-07,2018-05-08,BUY,商贸零售,,商贸零售,1.1119188247766165,1.1119188247766165,ENTRY_TOP1,1.0,568146.8943810783,,
2018-05-17,2018-05-18,SELL,商贸零售,商贸零售,,,,MARKET_MA180_AND_SECTOR_MA10_BREAK,0.0,568670.808988753,0.0009221463900555005,0.0
2018-05-23,2018-05-24,BUY,消费电子,,消费电子,1.1358282786643896,1.1358282786643896,ENTRY_TOP1,1.0,568670.808988753,,
2018-05-25,2018-05-28,SELL,消费电子,消费电子,,,,MARKET_MA180_AND_SECTOR_MA10_BREAK,0.0,550525.61251886,-0.031908084929064606,1.0
2018-07-20,2018-07-23,BUY,被动元件,,被动元件,1.3274666096043086,1.3274666096043086,ENTRY_TOP1,1.0,550525.61251886,,
2018-07-24,2018-07-25,SELL,被动元件,被动元件,,,,MARKET_MA180_AND_SECTOR_MA10_BREAK,0.0,545624.2494245408,-0.008903060970939514,2.0
2018-07-30,2018-07-31,BUY,建材,,建材,1.1920005815996415,1.1920005815996415,ENTRY_TOP1,1.0,545624.2494245408,,
2018-08-01,2018-08-02,SELL,建材,建材,,,,MARKET_MA180_AND_SECTOR_MA10_BREAK,0.0,528582.1634596292,-0.03123410659054393,3.0
2018-10-10,2018-10-11,BUY,黄金概念,,黄金概念,1.11175996339311,1.11175996339311,ENTRY_TOP1,1.0,528582.1634596292,,
2018-10-17,2018-10-18,SELL,黄金概念,黄金概念,,,,MARKET_MA180_AND_SECTOR_MA10_BREAK,0.0,495267.72989340406,-0.06302602673570823,4.0
2018-11-22,2018-11-23,BUY,大数据,,大数据,1.1844178657229212,1.1844178657229212,ENTRY_TOP1,1.0,495267.72989340406,,
2018-11-23,2018-11-26,SELL,大数据,大数据,,,,MARKET_MA180_AND_SECTOR_MA10_BREAK,0.0,470994.0163192291,-0.049011296535309,5.0
2019-01-14,2019-01-15,BUY,煤炭,,煤炭,1.1384672116034666,1.1384672116034666,ENTRY_TOP1,1.0,470994.0163192291,,
2019-01-24,2019-01-25,SELL,煤炭,煤炭,,,,MARKET_MA180_AND_SECTOR_MA10_BREAK,0.0,484202.414258061,0.028043663998226886,0.0
2019-01-30,2019-01-31,BUY,建材,,建材,1.1473792339091178,1.1473792339091178,ENTRY_TOP1,1.0,484202.414258061,,
2019-02-15,2019-02-18,SELL,建材,建材,,,,MARKET_MA180_AND_SECTOR_MA10_BREAK,0.0,502634.87530261965,0.03806767686774659,0.0
2019-02-21,2019-02-22,BUY,农林牧渔,,农林牧渔,1.3823107463383715,1.3823107463383715,ENTRY_TOP1,1.0,502634.87530261965,,
2019-02-25,2019-02-26,SWITCH,光学光电子,农林牧渔,光学光电子,1.4354202002311514,1.4354202002311514,STRONGER_RS20_MARGIN_4%,1.0,500551.8633445533,,
2019-03-08,2019-03-11,SWITCH,云计算,光学光电子,云计算,1.487228676934162,1.487228676934162,STRONGER_RS20_MARGIN_4%,1.0,519749.9878739428,,
2019-03-25,2019-03-26,SWITCH,游戏,云计算,游戏,1.1949622701668614,1.1949622701668614,STRONGER_RS20_MARGIN_4%,1.0,499328.9743230342,,
2019-03-27,2019-03-28,SELL,游戏,游戏,,,,DOUBLE_MA20_BREAK,0.0,472782.5805525126,-0.05939161052470543,1.0
2019-04-02,2019-04-03,BUY,煤炭,,煤炭,1.2069418641533374,1.2069418641533374,ENTRY_TOP1,1.0,472782.5805525126,,
2019-04-26,2019-04-29,SELL,煤炭,煤炭,,,,DOUBLE_MA20_BREAK,0.0,514776.05976418965,0.08882196793841635,0.0
2019-06-12,2019-06-13,BUY,农业种植,,农业种植,1.214210849332412,1.214210849332412,ENTRY_TOP1,1.0,514776.05976418965,,
2019-06-18,2019-06-19,SWITCH,黄金概念,农业种植,黄金概念,1.2181967384851766,1.2181967384851766,STRONGER_RS20_MARGIN_4%,1.0,481921.51432189345,,
2019-06-25,2019-06-26,SELL,黄金概念,黄金概念,,,,SECTOR_DAILY_GAIN_OVER_8%_PAUSE,0.0,566349.2043841374,0.1001855926314299,0.0
2019-06-26,2019-06-27,BUY,黄金概念,,黄金概念,1.3802367151435218,1.3802367151435218,ENTRY_TOP1,1.0,566349.2043841374,,
2019-07-10,2019-07-11,SELL,黄金概念,黄金概念,,,,DOUBLE_MA20_BREAK,0.0,576501.5451863067,0.017925938137776987,0.0
2019-07-30,2019-07-31,BUY,PCB,,PCB,1.1720307405682346,1.1720307405682346,ENTRY_TOP1,1.0,576501.5451863067,,
2019-08-07,2019-08-08,SELL,PCB,PCB,,,,MARKET_MA180_AND_SECTOR_MA10_BREAK,0.0,570741.0232008201,-0.009992205629951956,1.0
