,open,prev,close,volume,time
sh000001,3939.0948,3951.5068,3934.4036,484675114.0,15:03:36
sz000002,3.18,3.19,3.16,101044122.0,15:00:00
sz000021,35.63,34.99,36.5,114723405.0,15:00:00
sz000060,6.66,6.68,6.61,85891665.0,15:00:00
sz000063,32.88,33.09,32.45,56609470.0,15:00:00
sz000066,14.3,14.55,14.11,67262470.0,15:00:00
sz000069,1.84,1.85,1.83,39095608.0,15:00:00
sz000070,16.41,16.69,16.18,54740945.0,15:00:00
sz000157,6.65,6.66,6.61,23500120.0,15:00:00
sz000333,85.99,86.02,86.2,20498723.0,15:00:00
sz000400,21.46,21.6,21.16,9473394.0,15:00:00
sz000401,3.64,3.65,3.65,8672900.0,15:00:00
sz000425,8.32,8.38,8.24,61076796.0,15:00:00
sz000554,7.1,6.97,6.86,28152400.0,15:00:00
sz000568,77.0,76.9,74.81,12009014.0,15:00:00
sz000630,6.59,6.57,6.5,212856849.0,15:00:00
sz000636,49.0,49.7,50.9,90882424.0,15:00:00
sz000651,38.95,38.87,38.95,21496068.0,15:00:00
sz000682,11.24,11.26,11.13,7369300.0,15:00:00
sz000708,13.71,13.71,13.5,11931123.0,15:00:00
sz000713,7.19,7.23,6.96,42573761.0,15:00:00
sz000723,3.89,3.89,3.91,124969815.0,15:00:00
sz000768,23.77,23.95,23.5,29276769.0,15:00:00
sz000785,2.35,2.36,2.33,55031254.0,15:00:00
sz000786,16.37,16.37,16.26,13326453.0,15:00:00
sz000830,12.9,12.83,12.57,27856717.0,15:00:00
sz000831,54.05,54.36,53.36,17826507.0,15:00:00
sz000858,71.08,71.16,70.48,22306487.0,15:00:00
sz000876,7.82,7.91,7.61,76241921.0,15:00:00
sz000920,11.64,11.65,11.53,4668100.0,15:00:00
sz000921,27.78,27.81,28.16,9557100.0,15:00:00
sz000932,3.66,3.68,3.63,69102927.0,15:00:00
sz000938,33.18,33.57,33.1,78050523.0,15:00:00
sz000959,3.75,3.76,3.73,16911928.0,15:00:00
sz000975,25.98,25.98,25.87,21697442.0,15:00:00
sz000977,70.51,71.38,70.43,53026417.0,15:00:00
sz000998,9.98,10.02,9.59,70147549.0,15:00:00
sz001696,15.9,16.13,15.63,38658891.0,15:00:00
sz001979,6.8,6.82,6.88,57825589.0,15:00:00
sz002027,4.87,4.88,4.81,114708722.0,15:00:00
sz002028,137.6,138.58,135.26,9976889.0,15:00:00
sz002034,14.5,14.53,14.51,5811480.0,15:00:00
sz002041,11.6,11.66,11.14,60502703.0,15:00:00
sz002044,4.67,4.68,4.62,38574000.0,15:00:00
sz002050,36.0,36.19,35.46,30887833.0,15:00:00
sz002064,10.95,10.93,10.6,28567200.0,15:00:00
sz002065,6.81,6.82,6.73,20890500.0,15:00:00
sz002074,25.7,25.84,25.47,11628018.0,15:00:00
sz002078,14.48,14.5,14.48,11634183.0,15:00:00
sz002080,49.8,50.53,50.85,35614244.0,15:00:00
sz002097,7.68,7.67,7.65,19394506.0,15:00:00
sz002120,6.84,6.85,6.87,21649027.0,15:00:00
sz002138,47.2,47.83,46.94,20878165.0,15:00:00
sz002194,10.67,10.83,10.86,58928278.0,15:00:00
sz002202,17.69,17.85,18.14,97087729.0,15:00:00
sz002212,6.54,6.53,6.55,59749403.0,15:00:00
sz002230,38.98,39.04,39.16,15186067.0,15:00:00
sz002237,14.91,14.97,14.68,18948099.0,15:00:00
sz002241,22.8,23.01,22.53,44462423.0,15:00:00
sz002271,10.8,10.89,10.72,32836730.0,15:00:00
sz002273,25.1,25.49,25.12,18485924.0,15:00:00
sz002281,183.05,182.79,179.39,23492376.0,15:00:00
sz002299,17.22,17.22,17.06,7337699.0,15:00:00
sz002311,43.64,44.09,43.1,8108747.0,15:00:00
sz002315,24.81,24.96,24.53,3995980.0,15:00:00
sz002327,6.32,6.32,6.21,6799799.0,15:00:00
